Sample No,Aflatoxin ppb,fum ppb,aflalog,fumolog
1,22.6,94.55,1.35,1.98
2,1.65,10,0.22,1
3,1.5,116.95,0.18,2.07
4,1.4,3741.75,0.15,3.57
5,42.1,726.94,1.62,2.86
6,1.3,10,0.11,1
7,1.45,10,0.16,1
8,18.55,4374.83,1.27,3.64
9,2.75,15090,0.44,4.18
10,1.25,4192.08,0.1,3.62
11,1.15,3653.39,0.06,3.56
12,3.5,30651.32,0.54,4.49
13,1.45,1810.87,0.16,3.26
14,1,252.06,0,2.4
15,1,10,0,1
16,57.15,10,1.76,1
17,1.45,1063.93,0.16,3.03
18,1.85,19355,0.27,4.29
19,1.4,594.81,0.15,2.77
20,1.65,10,0.22,1
21,1.7,3108.3,0.23,3.49
22,2.1,376.69,0.32,2.58
23,1.4,31708.39,0.15,4.5
24,2.6,10,0.41,1
25,4.1,53947.76,0.61,4.73
26,1.6,2611.08,0.2,3.42
27,1,2461.55,0,3.39
28,2.4,599.55,0.38,2.78
29,1.4,522.11,0.15,2.72
30,1.9,34522.01,0.28,4.54
31,1,10,0,1
32,2.4,10,0.38,1
33,1.6,93.37,0.2,1.97
34,2.7,10,0.43,1
35,1.1,10,0.04,1
36,64.9,1626.9,1.81,3.21
37,1.55,409.41,0.19,2.61
38,1,350.77,0,2.55
39,2.1,10,0.32,1
40,1.2,10,0.08,1
41,1.55,10,0.19,1
42,1.9,332.27,0.28,2.52
43,1.5,10,0.18,1
44,12.2,783.58,1.09,2.89
45,0,10,0,1
46,2.55,5383.43,0.41,3.73
47,1.55,10,0.19,1
48,2.1,10,0.32,1
49,89.4,2026.4,1.95,3.31
50,1.1,771.22,0.04,2.89
51,2.3,10,0.36,1
52,1.4,515.64,0.15,2.71
53,1,3988.14,0,3.6
54,1,10,0,1
55,1,3138.9,0,3.5
56,1.7,10,0.23,1
57,1.8,116.9,0.26,2.07
58,1.95,10,0.29,1
59,3,127.51,0.48,2.11
60,50.7,10,1.71,1
61,0,10,0,1
62,1.9,10,0.28,1
63,2.45,3597.16,0.39,3.56
64,1,10,0,1
65,1.5,10,0.18,1
66,2.1,10,0.32,1
67,1.75,10,0.24,1
68,2.05,561.46,0.31,2.75
69,1,1376.76,0,3.14
70,1.2,10,0.08,1
71,2.9,5120.04,0.46,3.71
72,2.15,10,0.33,1
73,2,10,0.3,1
74,2,10,0.3,1
75,2.9,10,0.46,1
76,2.1,10,0.32,1
77,1.55,10,0.19,1
78,1,10,0,1
79,1,2378.82,0,3.38
80,1.1,10,0.04,1
81,1.5,5470.37,0.18,3.74
82,1,10,0,1
83,1.85,756.73,0.27,2.88
84,1.25,10,0.1,1
85,1.5,218,0.18,2.34
86,1.65,2906.94,0.22,3.46
87,2.4,505.65,0.38,2.7
88,1.95,1664.41,0.29,3.22
89,2.6,10,0.41,1
90,1.75,10,0.24,1
91,1,1531.83,0,3.19
92,1.85,10,0.27,1
93,1.75,1386.11,0.24,3.14
94,1.7,196.92,0.23,2.29
95,1,10,0,1
96,5.15,2464.63,0.71,3.39
97,2.2,10,0.34,1
98,123.25,2189.5,2.09,3.34
99,1.5,367.31,0.18,2.57
