S/No,Sample code,Accept stream (g),Reject(g),Rejection percentage
1,MS2020/08,87.6,0.6,0.684931507
2,MS2020/12,85.7,0.8,0.933488915
3,MS2020/13,83.3,11.6,13.92557023
4,MS2020/16,88.5,2.8,3.163841808
5,MS2020/17,85.6,1.6,1.869158879
6,MS2020/25,86,3,3.488372093
7,MS2020/28,86.1,0.9,1.045296167
8,MS2020/31,85.3,3.9,4.572098476
9,MS2020/34,62.4,30,48.07692308
10,MS2020/35,92.2,0.7,0.759219089
11,MS2020/36,84.3,6.7,7.947805457
12,MS2020/39,88.1,4.7,5.334846765
13,MS2020/56,89.6,0.6,0.669642857
14,MS2020/59,84.8,1.2,1.41509434
15,MS2020/63,87.8,0.2,0.227790433
16,MS2020/65,84.3,0.7,0.830367734
17,MS2020/74,85.6,1.6,1.869158879
18,MS2020/84,86.8,0.2,0.230414747
19,MS2020/95,86.6,0.5,0.577367206
20,MS2020/97,86.8,0,0
21,MS2020/103,86.7,1.9,2.191464821
22,MS2020/119,69.4,15.6,22.47838617
23,MS2020/122,76.9,11.6,15.08452536
